Organização dos livros:
Livro: z e  ooipb, Autor: n d dgm i, Estante: 1, Prateleira: 1
Livro: g q jnvt l, Autor: fpquc clm, Estante: 1, Prateleira: 1
Livro: oqe zaq lb, Autor: mh sdonjs, Estante: 1, Prateleira: 1
Livro: nbnzf  mbs, Autor: c ms qbb, Estante: 1, Prateleira: 1
Livro: opzu jspvd, Autor: cpeag et v, Estante: 1, Prateleira: 1
Livro: j  n jt, Autor: gghnszlnh, Estante: 1, Prateleira: 1
Livro: gti nmpaaq, Autor: qij fen cm, Estante: 1, Prateleira: 1
Livro: g gjshtbpl, Autor: z m efhe c, Estante: 1, Prateleira: 1
Livro: xnhbit p, Autor: apj eudp x, Estante: 1, Prateleira: 1
Livro: gdghvttbq, Autor: ls fsfnb g, Estante: 1, Prateleira: 1
Livro: p ijn inm, Autor: bozp ut gd, Estante: 1, Prateleira: 1
Livro: ulfd   mzt, Autor: iuztqzlmam, Estante: 1, Prateleira: 1
Livro: xa iedz l, Autor: gjtd  j a, Estante: 1, Prateleira: 1
Livro: cnujtpu s, Autor: zgvzlushg, Estante: 1, Prateleira: 2
Livro: ui qj  t, Autor: ldmm c b m, Estante: 1, Prateleira: 2
Livro: pcxfm xi, Autor: g vec sc l, Estante: 1, Prateleira: 2
Livro: x b pmde s, Autor: ns   u t, Estante: 1, Prateleira: 2
Livro: s  h g izi, Autor: a oqzdpqce, Estante: 1, Prateleira: 2
Livro: s  pbmc dh, Autor: pog  udnui, Estante: 1, Prateleira: 2
Livro: dza z gmag, Autor: dlm vs  f, Estante: 1, Prateleira: 2
Livro: hq dh cell, Autor: sud  hlizb, Estante: 1, Prateleira: 2
Livro: zupj j td, Autor: ov d aasu, Estante: 1, Prateleira: 2
Livro: bht tcd p, Autor: j qhb zvuq, Estante: 1, Prateleira: 2
Livro: b lqa t, Autor: bp hexl, Estante: 1, Prateleira: 2
Livro: tq  u mp, Autor: p osf edib, Estante: 1, Prateleira: 2
Livro: vmcib  jiq, Autor: q jtgo qqh, Estante: 1, Prateleira: 2
Livro: x admgbbpv, Autor: hpo jolu, Estante: 1, Prateleira: 3
Livro: t ntbiigxu, Autor: jbesi o, Estante: 1, Prateleira: 3
Livro: et hgtub, Autor: eg gghuxi, Estante: 1, Prateleira: 3
